member_id,loan_amnt,grade,sub_grade,home_ownership,verification_status,issue_d,loan_status,zip_code,addr_state
80364,25000,B,B4,RENT,Verified,01-08-2009,Fully Paid,941xx,CA
114426,7000,B,B5,RENT,Not Verified,01-05-2008,Fully Paid,112xx,NY
138150,1200,C,C2,OWN,Not Verified,01-03-2010,Fully Paid,777xx,TX
139635,10800,C,C3,RENT,Not Verified,01-11-2009,Fully Paid,067xx,CT
153417,7500,B,B3,RENT,Not Verified,01-04-2008,Fully Paid,921xx,CA
154254,3000,C,C5,MORTGAGE,Not Verified,01-09-2009,Fully Paid,775xx,TX
182594,4000,A,A5,MORTGAGE,Not Verified,01-02-2010,Fully Paid,775xx,TX
182917,5600,D,D2,RENT,Not Verified,01-02-2010,Charged Off,208xx,MD
191024,3200,B,B1,RENT,Not Verified,01-04-2010,Fully Paid,021xx,MA
232106,4000,B,B1,MORTGAGE,Not Verified,01-08-2009,Charged Off,481xx,MI
234569,5000,C,C2,MORTGAGE,Not Verified,01-05-2008,Fully Paid,912xx,CA
243540,2525,B,B5,RENT,Not Verified,01-02-2009,Fully Paid,402xx,KY
246329,10625,C,C4,MORTGAGE,Not Verified,01-12-2008,Fully Paid,386xx,MS
247802,2800,B,B4,RENT,Not Verified,01-08-2010,Fully Paid,926xx,CA
247990,7500,D,D3,MORTGAGE,Not Verified,01-06-2008,Fully Paid,662xx,KS
252415,10000,A,A4,MORTGAGE,Not Verified,01-10-2009,Fully Paid,485xx,MI
258249,3000,A,A3,MORTGAGE,Not Verified,01-02-2010,Fully Paid,300xx,GA
260179,6625,A,A5,RENT,Not Verified,01-03-2008,Fully Paid,926xx,CA
264119,10000,C,C1,MORTGAGE,Not Verified,01-03-2008,Fully Paid,273xx,NC
264924,2300,D,D2,RENT,Verified,01-08-2008,Fully Paid,088xx,NJ
265533,15000,A,A5,MORTGAGE,Not Verified,01-09-2009,Fully Paid,146xx,NY
266619,18000,B,B4,MORTGAGE,Not Verified,01-03-2008,Fully Paid,980xx,WA
266943,5000,E,E4,RENT,Verified,01-04-2008,Fully Paid,415xx,KY
267771,6000,A,A3,MORTGAGE,Not Verified,01-05-2008,Fully Paid,441xx,OH
270212,11200,D,D3,RENT,Not Verified,01-05-2010,Fully Paid,850xx,AZ
272798,15000,A,A5,OWN,Not Verified,01-03-2008,Fully Paid,488xx,MI
274280,10000,D,D4,RENT,Not Verified,01-03-2008,Fully Paid,941xx,CA
275254,15500,A,A5,RENT,Not Verified,01-02-2010,Fully Paid,068xx,CT
280311,9600,C,C5,RENT,Not Verified,01-03-2008,Fully Paid,606xx,IL
76583,5000,B,B2,MORTGAGE,Not Verified,01-07-2007,Fully Paid,100xx,NY
84914,5000,A,A2,MORTGAGE,Not Verified,01-09-2007,Fully Paid,024xx,MA
86999,7500,E,E2,OWN,Not Verified,01-06-2007,Fully Paid,027xx,MA
70699,5000,A,A2,RENT,Not Verified,01-08-2007,Fully Paid,100xx,NY
89243,5000,A,A2,MORTGAGE,Not Verified,01-07-2007,Fully Paid,208xx,MD
90390,5000,A,A4,MORTGAGE,Not Verified,01-07-2007,Fully Paid,017xx,MA
90607,8500,C,C1,RENT,Not Verified,01-07-2007,Fully Paid,274xx,NC
90962,5000,A,A2,MORTGAGE,Not Verified,01-07-2007,Fully Paid,303xx,GA
92174,2500,A,A4,MORTGAGE,Not Verified,01-07-2007,Fully Paid,802xx,CO
92390,5000,B,B1,MORTGAGE,Not Verified,01-07-2007,Fully Paid,804xx,CO
92423,5000,A,A2,MORTGAGE,Not Verified,01-07-2007,Fully Paid,017xx,MA
92502,5000,A,A2,OWN,Not Verified,01-07-2007,Fully Paid,537xx,WI
92529,5000,C,C4,OWN,Not Verified,01-07-2007,Fully Paid,537xx,WI
92542,5000,B,B5,MORTGAGE,Not Verified,01-07-2007,Fully Paid,333xx,FL
92661,5000,B,B3,MORTGAGE,Not Verified,01-07-2007,Fully Paid,530xx,WI
92671,5000,A,A4,MORTGAGE,Not Verified,01-07-2007,Fully Paid,530xx,WI
93057,5000,A,A2,MORTGAGE,Not Verified,01-07-2007,Fully Paid,017xx,MA
93254,3000,B,B1,MORTGAGE,Not Verified,01-07-2007,Fully Paid,017xx,MA
73673,3000,C,C1,MORTGAGE,Not Verified,01-07-2007,Fully Paid,100xx,NY
96338,5000,C,C4,OWN,Not Verified,01-07-2007,Fully Paid,314xx,GA
