id,revol_bal,total_acc,total_pymnt,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d
54734,28854,42,29330.3567,01-10-2011,7392.08,01-08-2012
55742,33623,7,8215.53706,01-06-2011,228.48,01-08-2012
57245,2584,31,1457.819531,01-03-2013,42.73,01-05-2016
57416,3511,40,13207.7633,01-11-2012,398,01-05-2016
58915,33667,11,5843.875367,01-04-2011,162.63,01-03-2014
59006,4740,23,3704.99765,01-10-2012,111.23,01-09-2012
61390,50807,19,4451.606058,01-03-2012,1454.31,01-03-2012
61419,3839,9,6474.6,01-10-2012,194.02,01-03-2013
62102,3198,11,3413.98528,01-02-2011,2592.23,01-03-2013
65426,24220,33,2755.2,01-06-2011,131.22,01-05-2016
65640,69909,51,3153.804764,01-05-2011,87.83,01-04-2015
66431,5630,8,3028.319048,01-03-2012,89.75,01-03-2012
66749,13846,16,12975.35746,01-01-2012,370.44,01-12-2011
66943,2183,23,3143.861603,01-10-2011,2348.97,01-07-2014
66964,5122,37,9128.550873,01-06-2011,253.87,01-06-2011
67503,6068,49,11280.38272,01-02-2012,3064.45,01-02-2014
68163,3021,25,3341.641503,01-02-2013,97.75,01-02-2013
68381,6282,9,7541.803814,01-03-2011,424.12,01-03-2015
68817,5394,23,11709.14052,01-09-2010,23.15,01-09-2010
68926,2211,13,2796.601136,01-09-2011,77.78,01-05-2016
69001,7586,19,17135.51023,01-07-2012,1919.13,01-08-2015
69124,8311,9,21027.94463,01-04-2011,598.22,01-05-2016
69168,591,6,6251.187621,01-04-2011,184.81,01-05-2016
69251,29797,39,6783.750468,01-05-2011,189.36,01-05-2011
69550,7248,11,15923.97483,01-08-2014,2816.71,01-05-2016
69828,5656,25,17208.17701,01-08-2011,38.2,01-08-2011
69924,21162,14,12225.41138,01-04-2011,359.55,01-02-2016
69990,16931,21,17438.40519,01-02-2013,472.56,01-02-2013
70348,4822,27,11340.97,01-05-2010,3773.06,01-05-2016
76597,14354,7,5725.016258,01-07-2010,160.61,01-07-2010
84918,1576,21,5200.462983,01-04-2008,4268.52,01-06-2007
87023,4175,8,9195.263334,01-06-2010,256.59,01-06-2010
88854,3164,2,5174.194867,01-03-2008,0,01-05-2007
90376,85607,26,5174.198551,01-01-2008,0,01-06-2007
90395,9698,20,5272.161128,01-04-2008,0,01-06-2007
90665,8847,9,9913.491822,01-07-2010,281.94,01-07-2010
90966,6053,19,5174.186842,01-01-2008,4397.47,01-06-2007
92187,7274,40,2822.969293,01-07-2010,80.9,01-06-2010
92402,66033,29,5698.603286,01-07-2010,159.83,01-11-2014
92440,3660,16,5593.631701,01-07-2010,157.38,01-06-2007
92507,216,19,5593.626092,01-07-2010,156.29,01-06-2007
92533,27185,29,5912.052998,01-07-2010,165.17,01-06-2007
92552,28329,6,5804.732505,01-07-2010,162.07,01-06-2010
92666,60568,38,5751.530533,01-07-2010,161.55,01-06-2007
92676,40934,39,5645.957239,01-07-2010,157.31,01-06-2007
93061,8379,16,5593.631701,01-07-2010,157.02,01-06-2010
93277,3660,13,3419.14485,01-07-2010,97.45,01-07-2010
94838,0,8,3498.858899,01-07-2010,98.49,01-02-2013
96350,15840,12,5912.052998,01-07-2010,166.25,01-10-2012
96844,6844,29,6012.561053,01-07-2010,170.05,01-07-2010
98276,1321,4,6069.341452,01-07-2010,169.09,01-12-2013
98339,4737,22,5779.031624,01-04-2010,638.15,01-06-2007
98982,23489,28,5725.016258,01-07-2010,160.02,01-07-2010
99009,2817,16,6421.743349,01-05-2010,4.74,01-04-2010
100214,1783,11,5593.634135,01-08-2010,157.74,01-06-2007
101579,3534,4,11662.89219,01-07-2010,328.93,01-10-2010
102376,2422,12,29269.95527,01-06-2010,3.54,01-06-2010
106079,2864,16,3942.013096,01-03-2009,1798.54,01-05-2016
106360,3075,13,3415.389823,01-07-2010,96.4,01-07-2010
107136,17214,24,13128.88362,01-04-2008,9939.88,01-07-2007
109355,1153,4,1425.37,01-07-2010,39.45,01-07-2010
111227,41674,26,20339.66,01-02-2010,678.08,01-05-2016
111307,43039,24,14449.28798,01-07-2010,402.93,01-07-2010
111917,3362,8,7395.962477,01-08-2010,206.58,01-07-2010
112216,11868,23,14361.46082,01-03-2011,239.9,01-03-2011
112245,2562,7,5593.638527,01-08-2010,158.65,01-04-2016
112323,1882,18,4097.157701,01-09-2010,6.57,01-08-2010
112496,1064,6,3579.662273,01-08-2010,101.51,01-07-2010
113156,6432,37,3952.171178,01-08-2010,110.07,01-07-2010
113179,4485,11,703.95,01-05-2009,32.55,01-10-2009
113194,16310,32,4063.318618,01-08-2010,114.13,01-07-2010
116040,20969,26,5778.087809,01-08-2010,163.82,01-08-2010
116582,22213,22,12260.31053,01-08-2010,343.82,01-08-2010
117056,2160,22,5592.073299,01-01-2010,1221.57,01-01-2010
117249,813,36,5495.826405,01-06-2009,2233.27,01-06-2009
117794,23678,60,7826.508179,01-03-2008,6415.65,01-06-2007
117863,11289,15,9199.512831,01-05-2010,154.52,01-02-2014
118523,56411,28,4054.35,01-02-2009,225.37,01-05-2016
118533,269,35,2086.63,01-03-2010,1.4,01-05-2016
118823,3408,32,2220.61,01-03-2010,1.76,01-05-2016
119043,6513,29,11652.75,01-10-2009,1016.15,01-03-2010
120215,330,4,4474.37586,01-08-2010,119.24,01-04-2015
120374,5967,17,2279.4299,01-08-2010,64.27,01-08-2010
120525,5533,5,4708.070922,01-08-2010,134.78,01-06-2011
121426,21050,24,3125.460949,01-04-2008,2563.59,01-08-2007
121530,21050,29,3125.435781,01-04-2008,2563.55,01-08-2007
121535,8155,8,3191.218575,01-09-2010,89.8,01-08-2007
121568,8155,8,4622.489229,01-09-2010,129.76,01-08-2007
121824,3678,14,3158.893661,01-05-2008,2494.29,01-01-2015
122070,2040,21,6446.047047,01-04-2010,1055.1,01-01-2012
122404,33074,9,13813.15438,01-04-2008,11149.39,01-08-2007
122637,1918,16,4495.838507,01-09-2010,126.29,01-08-2010
122718,22379,15,20042.61423,01-04-2008,16177.15,01-02-2011
123228,10296,8,12838.44,01-05-2009,642.02,01-05-2016
123230,2867,17,628.19,01-03-2008,104.76,01-04-2016
124436,12310,15,5675.572528,01-09-2010,160.09,01-08-2014
125671,61921,27,13819.081,01-09-2010,385.26,01-09-2010
125897,16738,24,7174.090957,01-08-2008,2329.53,01-11-2015
126213,40384,28,10727.30463,01-09-2010,299.36,01-09-2010
126215,1359,16,5459.636223,01-05-2009,143.94,01-05-2009
126287,107501,34,11068.42185,01-10-2008,7110.05,01-09-2008
126392,3054,41,10435.30342,01-04-2008,8553.6,01-08-2007
126776,40384,25,10727.30463,01-10-2010,305.23,01-09-2010
126788,128000,18,8104.154188,01-09-2008,5468.54,01-08-2008
127213,4709,8,2219.432551,01-04-2010,3.06,01-04-2010
127353,2850,19,3381.645272,01-04-2010,9.29,01-04-2010
127472,51,9,2580.248838,01-03-2009,73.68,01-05-2016
127504,37152,19,11291.91405,01-11-2010,317.43,01-11-2010
127531,3839,24,19555.18587,01-09-2010,545.37,01-11-2015
127719,37152,12,11291.91956,01-11-2010,323.55,01-11-2010
127830,26283,20,7294.65,01-12-2009,266.37,01-05-2010
128635,5607,7,7648.052287,01-10-2010,188.8,01-04-2012
128881,1061,4,8570.680502,01-11-2010,126.36,01-10-2010
129745,56740,23,11663.55831,01-10-2010,327.94,01-09-2010
130512,40598,42,8192.665786,01-05-2009,3946.77,01-03-2010
130735,3815,32,11444.36549,01-09-2008,7924.41,01-08-2008
130907,0,22,4191.717919,01-08-2010,9.7,01-03-2016
130986,50,6,2338.44735,01-10-2010,69.15,01-12-2010
131223,4569,7,25188.82338,01-10-2010,707.68,01-09-2010
131387,8528,7,7029.69413,01-10-2010,198.8,01-09-2010
131618,14345,21,10641.12426,01-10-2010,298.04,01-03-2013
131649,113,21,7833.037378,01-10-2010,219.63,01-09-2010
131782,12231,13,6138,01-12-2009,50.09,01-05-2010
132062,13552,18,8943.420138,01-10-2010,252.65,01-04-2016
132172,16813,13,6939.838576,01-02-2010,1692.37,01-02-2010
132892,26233,37,4015.96,01-05-2008,301.05,01-05-2016
132946,5760,10,5900.951139,01-10-2010,172.42,01-10-2010
133301,105,25,4073.98,01-10-2009,150.66,01-05-2016
133685,11490,11,7762.02533,01-02-2010,1888.34,01-03-2010
134436,17641,24,3068.020133,01-10-2010,89.89,01-08-2015
135201,0,9,10273.97249,01-01-2008,9617.25,01-09-2007
135594,12430,32,5504.771552,01-05-2008,4512.61,01-09-2007
136226,12323,16,5035.12991,01-04-2010,964.01,01-05-2016
136316,38624,23,3515.867902,01-05-2010,576.99,01-05-2016
136491,875,8,2477.03,01-07-2009,333.29,01-03-2015
136634,1196,16,10235.30514,01-10-2010,289.62,01-10-2010
137042,26628,18,6989.312454,01-10-2010,203.82,01-10-2010
137106,6752,18,4382.295761,01-01-2008,4105.9,01-10-2007
137271,458,3,2313.97,01-06-2008,70.25,01-05-2016
137965,16786,12,9013.504593,01-02-2010,2222.28,01-01-2011
138557,7336,20,9474.504091,01-10-2010,265.32,01-10-2010
138568,7089,25,3767.310996,01-10-2010,114.05,01-10-2010
139057,18388,22,6207.582068,01-09-2010,12.81,01-09-2010
139657,613,7,1393.109735,01-11-2010,40.85,01-07-2013
139790,566,5,3597.734061,01-12-2009,100.35,01-05-2016
139968,9166,20,12074.02691,01-07-2010,1333.8,01-04-2012
139980,5406,14,4820.71,01-03-2010,163.49,01-08-2010
140036,1188,7,868.81,01-01-2010,32.25,01-05-2016
140452,12003,9,3528.643953,01-10-2010,108.86,01-10-2010
140561,20511,9,520.03,01-05-2008,72.42,01-01-2009
140687,55720,41,3264.399986,01-11-2010,96.65,01-05-2016
140900,7744,34,8539.466798,01-04-2008,7501.59,01-10-2007
141041,51761,37,6095.488269,01-11-2010,171.85,01-10-2010
141676,579,15,6890.119612,01-12-2008,4427.01,01-09-2015
141774,34776,41,1605.3,01-08-2008,162.01,01-05-2016
142281,8047,15,7850.413498,01-05-2009,3995.3,01-04-2016
142608,0,6,5931.806949,01-10-2010,490.01,01-09-2010
142618,409,17,5701.515761,01-11-2010,162.23,01-10-2010
142734,185,18,27752.44158,01-06-2009,13442.6,01-06-2009
142790,48251,28,5664.122277,01-06-2010,665.84,01-05-2016
143102,772,29,3499.046563,01-11-2010,98.93,01-11-2010
143128,1019,13,9504.997523,01-11-2010,273.47,01-04-2016
143566,8332,28,14566.08622,01-11-2010,405.99,01-10-2010
144579,1790,22,10461.78715,01-10-2008,7387.64,01-10-2008
144635,62739,33,9239.37,01-10-2008,839.95,01-05-2016
146564,29901,19,8094.3,01-05-2010,553.62,01-05-2016
146641,5867,7,8231.777527,01-02-2008,7703.28,01-10-2007
146671,10605,27,26131.73499,01-05-2008,22120.23,01-08-2009
146844,57196,39,12699.13,01-12-2011,100.2,01-12-2011
148473,481,17,4484.82,01-07-2009,500.11,01-01-2011
149575,2282,2,11121.68928,01-10-2009,19.94,01-10-2009
149754,3614,13,4708.201721,01-11-2010,135.81,01-05-2016
150940,14930,21,8174.02191,01-05-2010,1571.29,01-04-2016
151587,33989,16,22759.93342,01-11-2009,7966.24,01-11-2009
151607,1238,6,1664.724606,01-09-2008,1199.4,01-08-2008
151621,4746,33,20609.24655,01-11-2010,574.81,01-11-2010
152291,3470,8,5395.041887,01-11-2010,151.64,01-11-2010
152663,12640,12,3161.605037,01-06-2008,2581.97,01-01-2008
153022,368,15,3339.035809,01-10-2010,11.71,01-10-2010
153054,30597,25,6690.131289,01-07-2009,3044.55,01-08-2009
153235,8537,5,21380.72297,01-11-2010,597.57,01-10-2011
153434,15649,23,14204.69083,01-11-2010,306.13,01-08-2011
154141,4067,24,5417.794338,01-03-2009,3076.88,01-12-2010
154154,5836,12,5134.085288,01-08-2008,3891.08,01-08-2008
154286,24615,6,17586.45199,01-03-2011,573.03,01-02-2011
154305,7600,10,4198.854301,01-11-2010,117.97,01-01-2011
154776,9495,8,2009.43,01-08-2008,223.34,01-03-2015
155780,4921,9,5162.394223,01-01-2009,3214.98,01-01-2009
156021,11200,11,7775.636871,01-04-2012,73.03,01-03-2012
156417,2444,31,6208.942922,01-06-2008,5278.09,01-09-2013
156868,916,8,28482.75432,01-01-2011,812.73,01-12-2010
157169,148829,43,10361.33,01-12-2008,821.25,01-05-2016
157768,3209,37,4559.031276,01-12-2010,128.06,01-02-2011
158289,7570,16,10593.50755,01-12-2010,297.22,01-04-2016
158706,13126,4,14370.92225,01-02-2010,4259.11,01-05-2014
159468,66654,34,13399.12782,01-02-2009,8231.59,01-02-2009
159665,50,6,6432.31679,01-12-2010,183.83,01-12-2010
159713,3084,4,986.55,01-05-2011,29.16,01-05-2016
161187,2598,15,14773.99102,01-12-2009,5171.89,01-12-2009
163627,18168,30,4686.458561,01-12-2010,134.37,01-02-2013
163758,24218,7,3547.037137,01-12-2010,99.15,01-12-2010
164346,0,4,565.0251577,01-12-2010,33.16,01-11-2015
164741,72303,33,18832.94253,01-12-2010,526.15,01-12-2010
164792,1032,7,18920.57192,01-12-2008,12791.64,01-12-2008
166437,133,20,11289.55269,01-08-2010,116.25,01-04-2016
166534,34023,19,8877.15,01-04-2009,527.93,01-12-2009
166546,12430,14,3135.507949,01-08-2008,2483.36,01-12-2009
166683,10742,43,7305.786154,01-12-2010,204.6,01-05-2014
166747,2197,13,2831.89,01-04-2009,707.96,01-12-2009
167189,88,18,1587.33,01-10-2008,158.76,01-05-2016
167205,13867,24,17495.30684,01-12-2010,490.65,01-02-2011
167584,3943,5,4514,01-02-2009,322.49,01-02-2016
167645,5405,19,6778.258742,01-04-2010,3.94,01-07-2015
167846,12102,15,13441.00357,01-06-2010,7.17,01-06-2010
168100,18076,25,21557.49245,01-11-2010,5.19,01-11-2010
168190,4504,11,2529.27,01-08-2009,132.35,01-05-2016
168222,25852,27,27392.2032,01-11-2008,19106.22,01-10-2008
169044,32438,23,21805.83242,01-01-2011,636.34,01-12-2010
169254,20380,26,18867.74967,01-08-2009,8642.19,01-05-2016
169354,38054,12,5894.49,01-02-2009,3654.23,01-02-2009
169453,25,4,20479.9813,01-02-2009,12618,01-03-2014
169525,3305,10,10478.72198,01-01-2011,1.46,01-01-2011
169793,348,25,7894.73,01-02-2009,530.36,01-11-2009
170488,3015,9,5681.902201,01-07-2010,933.83,01-07-2010
170528,7336,24,14059.38537,01-12-2010,393.41,01-02-2016
170929,8644,14,10042.83051,01-01-2009,6432.48,01-12-2012
171220,93,8,18930.34,01-03-2009,200.01,01-05-2016
171298,2698,17,7830.665691,01-12-2010,225.5,01-12-2010
172644,19009,18,13996.25553,01-12-2010,391.12,01-11-2011
172802,498,25,5698.810312,01-12-2010,159.37,01-04-2016
173029,10358,24,8311.84,01-04-2010,416.62,01-09-2010
173981,2105,33,3701.247745,01-04-2010,902.55,01-07-2014
174377,2822,24,5480.64559,01-02-2010,1631.54,01-02-2010
175056,21004,35,23067.26757,01-01-2010,7446.74,01-06-2014
175147,11675,29,2942.427533,01-12-2010,85.43,01-05-2016
175193,3933,3,8587.161956,01-12-2010,242.56,01-12-2010
175582,7251,15,12060.06736,01-08-2010,1649.16,01-05-2016
176062,88,17,931.5,01-10-2008,93.23,01-05-2016
176206,1492,5,3450.932223,01-12-2010,100.22,01-05-2011
176610,7121,9,3453.794808,01-12-2010,98.46,01-12-2010
176942,17641,18,19576.92009,01-03-2010,1950.71,01-04-2010
176995,30946,18,12770.59,01-02-2009,859.07,01-12-2009
177075,0,30,17016.46038,01-12-2010,482.31,01-08-2015
177259,23391,14,19760.82237,01-01-2009,12719.24,01-01-2009
177913,16324,25,7930.939209,01-11-2009,2988.95,01-11-2009
178157,7104,25,5511.15,01-10-2009,50.03,01-02-2010
178236,9273,10,14193.34884,01-02-2010,4185.78,01-11-2010
178239,6718,11,8353.107275,01-12-2010,236.06,01-09-2015
178977,12017,55,7221.69,01-10-2008,802.47,01-05-2016
179020,5749,23,10976.02508,01-12-2010,307.06,01-12-2010
179897,6530,13,30103.87502,01-12-2010,837.68,01-12-2010
180005,2666,19,4444.32909,01-01-2010,1448.33,01-02-2013
